AllPrograms
Program,Category,University,Grade Range,Co-op Available,Prerequisites
Applied Mathematics (BSc) ,Mathematics,York University,High 70s to mid-80s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U SBI4U or SCH4U or SPH4U MHF4U Three additional 4U or 4M courses MCV4U recommended
Concurrent Education: Science (BEd) ,Mathematics,York University,High 70s to mid-80s,Class-based experiential education,In this concurrent program graduates receive a Bachelor of Education as well as a Bachelor's degree in their chosen subject of major interest. Students must apply by selecting both the York Faculty that they are applying to and the BEd program. Full program details and instructions on how to apply are available on the Faculty of Education website. Submit your application for admission to the OUAC by January 15 2024. If you are interested in pursuing a French BEd with Glendon please see OUAC code YGJ. If you are interested in pursing an English BEd with Glendon please see OUAC code YYI. Admission to this program is a 2-part process: You are first considered for admission to the Faculty of Science. Applicants who submit all required documents by the specified deadline dates and receive an offer of admission to the faculty of choice by mid-April will advance to the Education Admissions Committee review. The Faculty of Education issues final admission decisions in May.
Data Science (BA) ,Mathematics,York University,High 70s to mid-80s,Not Available,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U (minimum grade of 75% required) MCV4U 3 additional 4U or M courses
Data Science (BSc) ,Mathematics,York University,High 70s to mid-80s,Class-based experiential education,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U (minimum grade of 75% required) MCV4U SBI4U or SCH4U or SPH4U 2 additional 4U or 4M courses
Health Studies (BHS) ,Mathematics,York University,Mid- to high 70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U Five additional 4U or 4M courses 4U math recommended
Mathematical Biology (BSc) ,Mathematics,York University,High 70s to mid 80s,Not Available,Ontario Secondary School Diploma (OSSD) ENG4U SBI4U SCH4U MHF4U MCV4U one additional 4U or 4M course SPH4U recommended
Mathematics (BA) ,Mathematics,York University,High 70s to mid-80s,Co-op or internship application available at the university after registration,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U Four additional 4U or 4M courses MCV4U recommended
Mathematics (BSc) ,Mathematics,York University,High 70s to Mid 80s,Co-op or internship application available at the university after registration,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U SBI4U or SCH4U or SPH4U Three additional 4U or 4M courses MCV4U recommended
Mathematics for Education (BA) ,Mathematics,York University,High 70s to mid-80s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U Four additional 4U or 4M courses MCV4U recommended
Mathematics for Education (BSc) ,Mathematics,York University,High 70s to mid-80s,Not Available,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U SBI4U or SCH4U or SPH4U Three additional 4U or 4M courses (MCV4U recommended)
Statistics (BA) ,Mathematics,York University,High 70s to mid-80s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (francophone applicants may present FRA4U FEF4U or FIF4U) MHF4U 4 additional 4U/M courses (MCV4U recommended)
Statistics (BSc) ,Mathematics,York University,High 70s to mid-80s,Not Available,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U SBI4U or SCH4U or SPH4U Three additional 4U or 4M courses MCV4U recommended
International BA (iBA Bilingual) ,Mathematics,York University  -  Glendon Campus,Mid- to high 70s,Practicum or internship option available,Find admission requirements.
Business Communication ,Media,Brock University,Mid- to high-70s,Practicum or internship option available,ENG4U
Earth and Planetary Science Communication ,Media,Brock University,Mid-70s,Class-based experiential education,ENG4U Any 2 of: MHF4U MCV4U MDM4U ICS4U SBI4U SPH4U SCH4U SES4U CGR4M or CGO4M
Film Studies ,Media,Brock University,Mid-70s,Practicum or internship option available,ENG4U
Interactive Arts and Science ,Media,Brock University,Mid-70s,Not Available,ENG4U Strongly recommended subjects: 1 from 4U History 4U Philosophy 4U Classical Studies or 4U International Language
Media and Communication Studies ,Media,Brock University,Mid-70s,Practicum or internship option available,ENG4U
Popular Culture ,Media,Brock University,Mid-70s,Practicum or internship option available,ENG4U
BA  -  Honours (4 years) (co-op available with some concentrations),Media,Carleton University,75-77%,Co-op available by major,PROGRAMS: African Studies Anthropology Applied Linguistics and Discourse Studies Art History Biology* Canadian Studies Childhood and Youth Studies Criminology and Criminal Justice English Environmental Studies European and Russian Studies Film Studies French Geography Geomatics Greek and Roman Studies History History and Theory of Architecture Human Rights and Social Justice Indigenous Studies Law Linguistics Music Philosophy Political Science Psychology Religion Sociology and Women’s and Gender Studies. English (ENG4U) 5 best 4U/M courses *BA Biology: English (ENG4U) and Chemistry (SCH4U) plus 4 best 4U/M courses. Advanced Functions (MHF4U) and Calculus (MCV4U) recommended.
Communication and Media Studies ,Media,Carleton University,75-77%,Co-op option available with this program,ENG4U 5 best 4U/M courses
Global and International Studies ,Media,Carleton University,75-77%,Co-op program,All Bachelor of Global and International Studies: ENG4U 5 best 4U/M courses Bachelor of Global and International Studies with concentration in French and Francophone Studies: ENG4U 1 French credit (4U) 4 best 4U/M courses
Information Technology  -  Information Resource Management (regular and co-op) (program offered jointly with Algonquin College) ,Media,Carleton University,75 - 77% (regular and co-op),Co-op option available with this program,ENG4U One 4U course in math (MHF4U MCV4U or MDM4U) Four 4U/M courses
Journalism ,Media,Carleton University,85 - 88%,Practicum or internship option available,English (ENG4U) 5 best 4U/M courses Additional prerequisites for the Concentration in Health Science: English (ENG4U) One Math credit (4U) Biology (SBI4U) or Chemistry (SCH4U) 3 best 4U/M courses
Journalism and Humanities ,Media,Carleton University,85 - 88%,Practicum or internship option available,ENG4U 5 best 4U/M courses
Media Production and Design ,Media,Carleton University,75-77% (regular and co-op),Co-op program,English (ENG4U) One Math credit: MHF4U MCV4U or MDM4U 4 best 4U/M courses
Arts General ,Media,University of Guelph,75 to 80%,Class-based experiential education,ENG4U 5 additional 4U/M courses Prerequisites for Economics and Mathematical Economics include: ENG4U MHF4U 4 additional U/M courses
Honours Bachelor of Applied Arts in Media & Communication Studies and Diploma in Media Communications ,Media,University of Guelph-Humber,Estimated cut-off admission range is 75 - 80%. Minimum 70% admission average to be considered.,Field placement,ENG4U (or equivalent) 5 additional 4U/M courses
Arts One (Thunder Bay) ,Media,Lakehead University,70%,Not Available,ENG4U
General (Arts or Science) (Thunder Bay Orillia & Online) ,Media,Lakehead University,70%,Not Available,General Arts: ENG4U General Science: ENG4U 2 of MCV4U MDM4U MHF4U SBI4U SCH4U SES4U SPH4U
Media Film & Communications (Orillia Campus only) ,Media,Lakehead University,70%,Not Available,ENG4U A portfolio is required. Read more about the application details.
Humanities I ,Media,McMaster University,High 70s to low 80s,Practicum or internship option available,ENG4U
Advertising ,Media,OCAD University,N/A,Practicum or internship option available,OSSD with an overall academic average of at least 70% in six 4U/M courses including ENG4U or EAE4U with a minimum final grade of 70%
Digital Futures ,Media,OCAD University,N/A,Practicum or internship option available,OSSD with an overall academic average of at least 70% in six 4U/M courses including ENG4U or EAE4U with a minimum final grade of 70%
Graphic Design ,Media,OCAD University,N/A,Practicum or internship option available,OSSD with an overall academic average of at least 70% in six 4U/M courses including ENG4U or EAE4U with a minimum final grade of 70%
Illustration ,Media,OCAD University,N/A,Practicum or internship option available,OSSD with an overall academic average of at least 70% in six 4U/M courses including ENG4U or EAE4U with a minimum final grade of 70%
Integrated Media ,Media,OCAD University,N/A,Practicum or internship option available,OSSD with an overall academic average of at least 70% in six 4U/M courses including ENG4U or EAE4U with a minimum final grade of 70%.
Photography ,Media,OCAD University,N/A,Practicum or internship option available,OSSD with an overall academic average of at least 70% in six 4U/M courses including ENG4U or EAE4U with a minimum final grade of 70%
Printmaking & Publications ,Media,OCAD University,N/A,Practicum or internship option available,OSSD with an overall academic average of at least 70% in six 4U/M courses including ENG4U or EAE4U with a minimum final grade of 70%
Visual and Critical Studies (Art History) ,Media,OCAD University,N/A,Practicum or internship option available,OSSD with an overall academic average of at least 70% in six 4U/M courses including ENG4U or EAE4U with a minimum final grade of 70%
Business and Society (BA) ,Media,Ontario Tech University,Low 70s,Practicum or internship option available,Six 4U/M credits including ENG4U
Communication and Digital Media Studies ,Media,Ontario Tech University,Low 70s,Practicum or internship option available,Six 4U/M credits including ENG4U
Creativity Digital Arts and Entertainment Industries ,Media,Ontario Tech University,Low 70s,Practicum or internship option available,Six 4U/M credits including ENG4U
Game Development and Interactive Media ,Media,Ontario Tech University,Mid-70s,Co-op or internship option available,Six 4U/M credits including ENG4U (minimum 60%) One of MHF4U MCV4U or MDM4U (minimum 60%) or ICS4U (minimum 70%)
Global Studies ,Media,Ontario Tech University,Low 70s,Practicum or internship option available,Six 4U/M credits including ENG4U
Strategic Communications Social Media & Society ,Media,Ontario Tech University,Low 70s,Practicum or internship option available,Six 4U/M credits including ENG4U
Communication (4 years) (French Immersion Stream is available),Media,University of Ottawa,Mid-70s; co-op 80%,Co-op option available with this program,ENG4U or FRA4U
Communication and Political Science (Joint Honours  -  4 years) (French Immersion Stream is available),Media,University of Ottawa,Mid-70s; co-op 80%,Co-op option available with this program,ENG4U or FRA4U
Communication and Political Science (Joint Honours  -  4 years) (French Immersion Stream is available),Media,University of Ottawa,Mid-70s; co-op 80%,Co-op option available with this program,ENG4U or FRA4U
Communication and Sociology (Joint Honours  -  4 years) (French Immersion Stream is available),Media,University of Ottawa,Mid-70s; co-op 80%,Co-op option available with this program,ENG4U or FRA4U
Communication and Sociology (Joint Honours  -  4 years) (French Immersion Stream is available),Media,University of Ottawa,Mid-70s; co-op 80%,Co-op option available with this program,ENG4U or FRA4U
Digital Journalism (Joint program with Algonquin College) (4 years),Media,University of Ottawa,Mid-70s,Embedded community engagement/volunteerism/partnership,ENG4U or FRA4U
Public Relations  -  Joint program with Algonquin College (4 years),Media,University of Ottawa,Mid-70s,Embedded community engagement/volunteerism/partnership,ENG4U or FRA4U
Honours Bachelor of Arts with Major (4 years),Media,University of Ottawa  -  Saint Paul University,70%,Practicum or internship option available,OSSD or equivalent Minimum of six 4U/M courses including ENG4U or FRA4U
